Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Land Area(Km2),Latitude,Longitude
Panama,94.8628512,87.67999999999999,538.982,139647500.0,22.262500000000003,2.848,0.0,7.694,72.89683540000001,29489.264600000002,1.46,11075.000285,,-0.14700819579999944,14663.895616,75420.0,8.537981,-80.782127
Papua New Guinea,55.918072200000005,9.03,38.757999999999996,8355000.0,53.765,3.086,0.0,1.316,29.950260000000004,2971.01874,5.175,7602.499962,,1.9450724588,2716.7547932,462840.0,-6.314993,143.95555
Paraguay,99.4,67.4,1271.714,44030000.0,60.485,0.028000000000000004,0.0,55.339999999999996,99.9413558,21938.2086,3.4025,7980.0001382499995,,2.2629608964,5433.659934400001,406752.0,-23.442503,-58.443832
Peru,95.812634,81.42999999999999,194.802,180245000.0,27.45,21.636000000000003,0.0,31.639999999999997,59.274753999999994,9482.0924,2.5675,55617.500305,26.581893,0.2992947791999999,6605.5568434,1285216.0,-9.189967,-75.015152
Philippines,94.4004468,45.46,61.67,70080000.0,27.5925,75.618,0.0,23.09,23.4575128,4865.87614,2.8275,134862.50115,11.190751,3.393485287,3246.6362064,300000.0,12.879721,121.774017
Poland,100.0,100.0,,,11.4775,140.68800000000002,0.0,24.45,14.8540145,30674.227600000002,3.6825,304924.99545,6.570263219999999,3.1060753223999997,14646.760272,312685.0,51.919438,19.145136
Portugal,100.0,100.0,,,27.27,27.339999999999996,0.0,28.362000000000002,51.1034248,28715.522999999997,2.6875,49057.499885,27.1488114,0.5230920216000001,22094.782199999998,92212.0,39.399872,-8.224454
Puerto Rico,100.0,,120.242,,1.9825,17.422,0.0,0.386,2.17948488,24540.2346,0.5325,,,-2.1429845978000004,31696.419046000003,9104.0,18.25,-66.5
Qatar,100.0,100.0,15.546000000000001,,0.055,43.918,0.0,0.026000000000000002,0.059572338999999995,204960.78199999998,6.4825,88212.49962,0.06958878399999999,-0.013580730999999967,58919.31967,11586.0,25.354826,51.183884
Romania,99.82000000000001,87.22,,,23.58,24.832,11.386,25.338,59.8133502,19625.4972,2.545,73734.9987025,17.5174032,3.350955267,11710.0026566,238391.0,45.943161,24.96676
Rwanda,37.4813514,1.5399999999999998,10.692,35017500.0,83.6425,0.42400000000000004,0.0,0.41999999999999993,49.514785,480.38725400000004,4.145,1242.50000725,,4.926333778599999,783.7439420000001,26338.0,-1.940278,29.873888
Saint Kitts and Nevis,100.0,100.0,78.978,,1.615,0.20600000000000002,0.0,0.008,3.72294368,22397.1274,2.59,,,,,261.0,17.357822,-62.782998
Saint Lucia,98.85981919999999,94.74,14.440000000000001,9770000.0,10.34,0.36,0.0,0.0,0.0,12086.2558,2.895,,,,,616.0,13.909444000000002,-60.97889299999999
Saint Vincent and the Grenadines,99.95571,94.72,64.742,17395000.0,5.0,0.12,0.0,0.024,16.5714282,9328.099,2.575,,,,,389.0,12.984305,-61.287228000000006
Samoa,99.123554,34.480000000000004,128.394,1025000.0,35.8625,0.092,0.0,0.05600000000000001,37.7857148,7368.49904,4.237500000000001,300.000004475,,1.9445475819999998,4189.371728,2831.0,-13.759029000000002,-172.104629
Sao Tome and Principe,73.223362,2.7800000000000002,12.39,160000.0,38.14,0.082,0.0,0.01,10.8888888,3255.10372,3.5225,140.0000006,,3.2519200378,1922.5677672000002,836.0,0.3301924,6.733343
Saudi Arabia,99.96600000000001,100.0,5.67,,0.02,339.88800000000003,,0.13999999999999999,0.0414159114,88017.1302,5.6775,537835.006725,0.0120230342,-0.08238295960000004,21453.672373999998,2149690.0,23.885942,45.079162
Senegal,66.59378799999999,25.3,10.745999999999999,120325000.0,37.0,4.046,0.0,0.698,14.5466554,2553.3855599999997,3.6825,10182.50012525,,5.174993210999999,1398.330716,196722.0,14.497401,-14.452361999999999
Serbia,99.96000000000001,77.16,,,20.872500000000002,26.808,0.0,10.354,27.8566748,26264.0768,5.3825,46510.0002275,,2.664402059,6889.572094,77474.0,44.016521,21.005859
Seychelles,100.0,100.0,94.26,810000.0,1.295,0.48599999999999993,0.0,0.028000000000000004,5.09312908,47349.992000000006,3.095,587.4999910500001,,0.29845037780000006,14797.321263999998,455.0,-4.679574,55.491977
Sierra Leone,23.740177199999998,0.65,12.712,7517500.0,74.9,0.044,0.0,0.182,80.903158,545.383642,5.6475,907.499998825,,3.3995959252,512.64408488,71740.0,8.460555,-11.779889
Singapore,100.0,100.0,71.088,,0.73,49.721999999999994,0.0,0.672,1.33009146,160698.124,2.635,47505.000115,0.29157087600000003,1.460215923,62028.427674,716.0,1.352083,103.81983599999998
Slovakia,100.0,100.0,,,13.8975,5.87,15.081999999999999,6.4959999999999996,78.625782,34399.468,4.2975,,9.6756834,,,49035.0,48.669026,19.699024
Slovenia,100.0,100.0,,,20.535,5.176,5.992,5.068,68.0980776,38081.0614,3.75,13922.499895,16.9778016,2.2902049329999996,24536.795274,20273.0,46.151241,14.995463
Solomon Islands,66.1125708,8.879999999999999,5.446,59265000.0,48.6775,0.1,0.0,0.0,0.0,2039.6843000000001,4.4025,357.500009225,,2.4108983680000002,2312.9688247999998,28896.0,-9.64571,160.156194
Somalia,50.5818164,2.7,0.858,6380000.0,94.91,0.33399999999999996,0.0,0.02,5.5957542799999995,234.75280400000003,11.6675,667.50001905,,5.8384873602,404.35336634,637657.0,5.152149,46.199616
South Africa,84.477108,85.67999999999999,126.74000000000001,192590000.0,10.4175,209.2,13.216,11.07,10.4101432,25218.4512,7.8825,433695.0073,2.4963085400000002,-0.6017608992000001,6346.726103999999,1219090.0,-30.559481999999996,22.937506
South Sudan,5.88777652,0.0,0.05,177500.0,28.18,0.526,0.0,0.006,1.0846560799999998,691.241312,,1625.0,,,,644329.0,6.8769919,31.306978800000003
Spain,100.0,100.0,,,16.9025,109.256,57.818000000000005,102.244,59.4977444,33575.1228,2.765,251875.0038,18.400247200000003,-0.08879337440000015,28314.838236,505370.0,40.463667,-3.74922
Sri Lanka,98.864688,29.46,101.068,118377500.0,50.39,9.370000000000001,0.0,5.5920000000000005,37.3100904,4861.6002,1.815,22690.000535,14.5392164,2.0045810162,3911.0965306,65610.0,7.873053999999999,80.771797
Sudan,52.280673,51.46,48.432,52422500.0,60.8725,5.706,0.0,9.894,63.3440424,2546.18808,4.5725,20892.4999225,,-0.8624177504,783.89092356,1861484.0,12.862807,30.217636
Suriname,97.188568,93.28,329.882,7600000.0,14.55,0.978,0.0,0.9339999999999999,48.8634482,20837.6222,3.8975,2577.50004525,,-2.64196161,6175.3472098,163820.0,3.919305,-56.027783
Sweden,100.0,100.0,,,51.78,3.3160000000000003,62.536,97.286,97.964015,61932.943799999994,3.925,37019.999505,44.502677,1.1253217034,52911.91296,450295.0,60.128161,18.643501
Switzerland,100.0,100.0,,,24.5125,3.62,22.484,35.954,94.1323012,37592.253000000004,1.69,38307.499885,33.1202024,1.0730154696,85049.065918,41277.0,46.818188,8.227512
Tajikistan,99.444164,80.66,566.7819999999999,167310000.0,40.22,1.158,0.0,17.784,93.9878708,7705.09734,4.7675,7890.000105,,6.699999913000001,851.73524058,144100.0,38.861034,71.276093
Thailand,99.893992,81.78,158.16199999999998,99425000.0,23.085,159.408,0.0,22.896,12.525534,20234.159,4.7075,261139.999375,6.046832759999999,1.5939748148,6977.5774478,513120.0,15.870032,100.992541
Togo,50.2251106,8.65,8.932,4727500.0,77.4175,0.406,0.0,0.20400000000000001,34.440564,1183.3796,8.53,2262.4999285,,4.4191574116,868.74468672,56785.0,8.619543,0.8247820000000001
Tonga,98.58282799999999,79.63,61.416,15707500.0,1.885,0.05600000000000001,0.0,0.008,11.904762000000002,6390.9285,2.975,162.5000015,,2.3164342124,4587.9691278,747.0,-21.178986,-175.198242
Trinidad and Tobago,100.0,100.0,2.334,,0.4325,8.622,0.0,0.01,0.115928538,127986.93000000001,19.2325,17882.5001725,0.006690924400000001,-3.524695169,16305.005829999998,5128.0,10.691803,-61.222503
Tunisia,99.96000000000001,99.8,32.162,37295000.0,12.0825,18.753999999999998,0.0,0.708,3.62945176,9850.586,3.85,29842.4997325,,-0.3815724042000001,3677.8558752,163610.0,33.886917,9.537499
Turkey,100.0,95.17999999999999,508.438,797600000.0,12.645,189.268,0.0,107.17,36.0558176,21470.325,2.6574999999999998,,16.180335200000002,3.2976206978000002,9719.313606,783562.0,38.963745,35.243322
Turkmenistan,99.97723,99.9,0.20400000000000001,45000.0,0.057499999999999996,20.966,0.0,0.0,0.0,59243.4054,13.8425,73095.0012225,0.007553310400000001,6.2999999885,6888.5463505,488100.0,38.969719,59.556278
Tuvalu,98.92169,68.47,195.278,3275000.0,8.68,,,,,0.0,2.645,9.999999776,,4.7569676862,3745.7358884,26.0,-7.109534999999999,177.64933
Uganda,36.9031138,0.58,22.71,222137500.0,90.47,0.21600000000000003,0.0,3.938,94.69312599999999,797.8396759999999,10.1525,5460.00003825,,4.7212762092,774.92096004,241038.0,1.373333,32.290275
Ukraine,100.0,94.92,,,6.58,60.74400000000001,82.026,12.516,60.96089859999999,22121.332400000003,7.4175,184237.499225,3.38994498,1.4977628658,3061.8025805999996,603550.0,48.379433,31.16558
United Arab Emirates,100.0,100.0,113.628,,0.325,123.854,0.312,2.338,2.0793841559999997,134291.552,4.4925,191024.9977,0.4603556299999999,0.7649321346000001,40322.39622,83600.0,23.424076,53.847818
United Kingdom,100.0,100.0,,,10.3825,154.53,62.83200000000001,108.81800000000001,52.760604,32897.258400000006,2.4225,364365.00549999997,14.966574399999999,-0.3350747364000002,42026.786084,243610.0,55.378051000000006,-3.4359729999999997
United States,100.0,100.0,,,9.98,2575.708,803.402,729.486,37.3168906,78042.2092,4.62,4876725.09775,9.2359138,1.1594310926,62013.68945799999,9833517.0,37.09024,-95.712891
Uruguay,99.84,100.0,1048.424,44075000.0,60.69,1.6620000000000001,0.0,12.756,88.42222480000001,19210.7336,2.7725,6412.49990475,,-0.3425629537999999,17447.362856,176215.0,-32.522779,-55.765835
Uzbekistan,100.0,84.65,59.038,52722500.0,1.605,51.322,0.0,6.586,11.3782483,16307.117600000001,8.28,110985.000625,3.2375416799999996,4.6213650238,1950.6434192000002,447400.0,41.377491,64.585262
Vanuatu,62.8595946,8.22,36.824,6566666.666666667,32.8375,0.05,0.0,0.018,26.190476,2906.2580399999997,3.5925,192.49999895,,2.20061118,2999.9864922,12189.0,-15.376706000000002,166.959158
Yemen,71.3137022,61.370000000000005,6.470000000000001,18980000.0,2.9975,3.2960000000000003,0.0,0.36,10.461125,1292.02846,,,,,,527968.0,15.552727,48.516388
Zambia,40.7135636,11.879999999999999,142.906,103132500.0,82.935,1.748,0.0,12.644,88.166908,3125.25446,7.3025,6665.00008125,,1.9943520199999998,1324.500991,752618.0,-13.133897,27.849331999999997
Zimbabwe,46.3684314,30.0,73.95,1178000.0,81.598,3.468,0.0,4.37,55.4765814,3084.29292,9.962,11375.0002375,,-0.4206825135999999,1297.1341462,390757.0,-19.015438,29.154857
