,Entity,pop_est
0,Afghanistan,38041754
1,Albania,2854191
2,Algeria,43053054
3,Angola,31825295
4,Antigua and Barbuda,Not Available
5,Argentina,44938712
6,Armenia,2957731
7,Aruba,Not Available
8,Australia,25364307
9,Austria,8877067
10,Azerbaijan,10023318
11,Bahamas,389482
12,Bahrain,Not Available
13,Bangladesh,163046161
14,Barbados,Not Available
15,Belarus,9466856
16,Belgium,11484055
17,Belize,390353
18,Benin,11801151
19,Bermuda,Not Available
20,Bhutan,763092
21,Bosnia and Herzegovina,3301000
22,Botswana,2303697
23,Brazil,211049527
24,Bulgaria,6975761
25,Burkina Faso,20321378
26,Burundi,11530580
27,Cambodia,16486542
28,Cameroon,25876380
29,Canada,37589262
30,Cayman Islands,Not Available
31,Central African Republic,4745185
32,Chad,15946876
33,Chile,18952038
34,China,1397715000
35,Colombia,50339443
36,Comoros,Not Available
37,Congo,5380508
38,Costa Rica,5047561
39,Croatia,4067500
40,Cuba,11333483
41,Cyprus,1198575
42,Czechia,10669709
43,Denmark,5818553
44,Djibouti,973560
45,Dominica,Not Available
46,Dominican Republic,10738958
47,Ecuador,17373662
48,Egypt,100388073
49,El Salvador,6453553
50,Equatorial Guinea,1355986
51,Eritrea,6081196
52,Estonia,1326590
53,Eswatini,1148130
54,Ethiopia,112078730
55,Fiji,889953
56,Finland,5520314
57,France,67059887
58,French Guiana,Not Available
59,Gabon,2172579
60,Gambia,2347706
61,Georgia,3720382
62,Germany,83132799
63,Ghana,30417856
64,Greece,10716322
65,Grenada,Not Available
66,Guatemala,16604026
67,Guinea,12771246
68,Guinea-Bissau,1920922
69,Guyana,782766
70,Haiti,11263077
71,Honduras,9746117
72,Hungary,9769949
73,Iceland,361313
74,India,1366417754
75,Indonesia,270625568
76,Iraq,39309783
77,Ireland,4941444
78,Israel,9053300
79,Italy,60297396
80,Jamaica,2948279
81,Japan,126264931
82,Jordan,10101694
83,Kazakhstan,18513930
84,Kenya,52573973
85,Kiribati,Not Available
86,Kuwait,4207083
87,Kyrgyzstan,6456900
88,Latvia,1912789
89,Lebanon,6855713
90,Lesotho,2125268
91,Liberia,4937374
92,Libya,6777452
93,Lithuania,2786844
94,Luxembourg,619896
95,Madagascar,26969307
96,Malawi,18628747
97,Malaysia,31949777
98,Maldives,Not Available
99,Mali,19658031
100,Malta,Not Available
101,Mauritania,4525696
102,Mauritius,Not Available
103,Mexico,127575529
104,Mongolia,3225167
105,Montenegro,622137
106,Morocco,36471769
107,Mozambique,30366036
108,Myanmar,54045420
109,Namibia,2494530
110,Nauru,Not Available
111,Nepal,28608710
112,Netherlands,17332850
113,New Caledonia,287800
114,New Zealand,4917000
115,Nicaragua,6545502
116,Niger,23310715
117,Nigeria,200963599
118,North Macedonia,2083459
119,Norway,5347896
120,Oman,4974986
121,Pakistan,216565318
122,Panama,4246439
123,Papua New Guinea,8776109
124,Paraguay,7044636
125,Peru,32510453
126,Philippines,108116615
127,Poland,37970874
128,Portugal,10269417
129,Puerto Rico,3193694
130,Qatar,2832067
131,Romania,19356544
132,Rwanda,12626950
133,Saint Kitts and Nevis,Not Available
134,Saint Lucia,Not Available
135,Saint Vincent and the Grenadines,Not Available
136,Samoa,Not Available
137,Sao Tome and Principe,Not Available
138,Saudi Arabia,34268528
139,Senegal,16296364
140,Serbia,6944975
141,Seychelles,Not Available
142,Sierra Leone,7813215
143,Singapore,Not Available
144,Slovakia,5454073
145,Slovenia,2087946
146,Solomon Islands,669823
147,Somalia,10192317
148,South Africa,58558270
149,South Sudan,11062113
150,Spain,47076781
151,Sri Lanka,21803000
152,Sudan,42813238
153,Suriname,581363
154,Sweden,10285453
155,Switzerland,8574832
156,Tajikistan,9321018
157,Thailand,69625582
158,Togo,8082366
159,Tonga,Not Available
160,Trinidad and Tobago,1394973
161,Tunisia,11694719
162,Turkey,83429615
163,Turkmenistan,5942089
164,Tuvalu,Not Available
165,Uganda,44269594
166,Ukraine,44385155
167,United Arab Emirates,9770529
168,United Kingdom,66834405
169,United States,328239523
170,Uruguay,3461734
171,Uzbekistan,33580650
172,Vanuatu,299882
173,Yemen,29161922
174,Zambia,17861030
175,Zimbabwe,14645468
