Entity,category,value
Barbados,Average,84.17791348182857
Belarus,Average,84.17791348182857
Belgium,Average,84.17791348182857
Belize,Average,84.17791348182857
Benin,Average,84.17791348182857
Bermuda,Average,84.17791348182857
Bhutan,Average,84.17791348182857
Bosnia and Herzegovina,Average,84.17791348182857
Botswana,Average,84.17791348182857
Brazil,Average,84.17791348182857
Bulgaria,Average,84.17791348182857
Burkina Faso,Average,84.17791348182857
Burundi,Average,84.17791348182857
Cambodia,Average,84.17791348182857
Cameroon,Average,84.17791348182857
Canada,Average,84.17791348182857
Cayman Islands,Average,84.17791348182857
Central African Republic,Average,84.17791348182857
Chad,Average,84.17791348182857
Chile,Average,84.17791348182857
China,Average,84.17791348182857
Colombia,Average,84.17791348182857
Comoros,Average,84.17791348182857
Congo,Average,84.17791348182857
Costa Rica,Average,84.17791348182857
Croatia,Average,84.17791348182857
Cuba,Average,84.17791348182857
Cyprus,Average,84.17791348182857
Czechia,Average,84.17791348182857
Denmark,Average,84.17791348182857
Djibouti,Average,84.17791348182857
Dominica,Average,84.17791348182857
Dominican Republic,Average,84.17791348182857
Ecuador,Average,84.17791348182857
Egypt,Average,84.17791348182857
El Salvador,Average,84.17791348182857
Equatorial Guinea,Average,84.17791348182857
Eritrea,Average,84.17791348182857
Estonia,Average,84.17791348182857
Eswatini,Average,84.17791348182857
Ethiopia,Average,84.17791348182857
Fiji,Average,84.17791348182857
Finland,Average,84.17791348182857
France,Average,84.17791348182857
Gabon,Average,84.17791348182857
Gambia,Average,84.17791348182857
Georgia,Average,84.17791348182857
Germany,Average,84.17791348182857
Ghana,Average,84.17791348182857
Greece,Average,84.17791348182857
Grenada,Average,84.17791348182857
Guatemala,Average,84.17791348182857
Guinea,Average,84.17791348182857
Guinea-Bissau,Average,84.17791348182857
Guyana,Average,84.17791348182857
Haiti,Average,84.17791348182857
Honduras,Average,84.17791348182857
Hungary,Average,84.17791348182857
Iceland,Average,84.17791348182857
India,Average,84.17791348182857
Indonesia,Average,84.17791348182857
Iraq,Average,84.17791348182857
Ireland,Average,84.17791348182857
Israel,Average,84.17791348182857
Italy,Average,84.17791348182857
Jamaica,Average,84.17791348182857
Japan,Average,84.17791348182857
Jordan,Average,84.17791348182857
Kazakhstan,Average,84.17791348182857
Kenya,Average,84.17791348182857
Kiribati,Average,84.17791348182857
Kuwait,Average,84.17791348182857
Kyrgyzstan,Average,84.17791348182857
Latvia,Average,84.17791348182857
Lebanon,Average,84.17791348182857
Lesotho,Average,84.17791348182857
Liberia,Average,84.17791348182857
Libya,Average,84.17791348182857
Lithuania,Average,84.17791348182857
Luxembourg,Average,84.17791348182857
Madagascar,Average,84.17791348182857
Malawi,Average,84.17791348182857
Malaysia,Average,84.17791348182857
Maldives,Average,84.17791348182857
Mali,Average,84.17791348182857
Malta,Average,84.17791348182857
Mauritania,Average,84.17791348182857
Mauritius,Average,84.17791348182857
Mexico,Average,84.17791348182857
Mongolia,Average,84.17791348182857
Montenegro,Average,84.17791348182857
Morocco,Average,84.17791348182857
Mozambique,Average,84.17791348182857
Myanmar,Average,84.17791348182857
Namibia,Average,84.17791348182857
Nauru,Average,84.17791348182857
Nepal,Average,84.17791348182857
Netherlands,Average,84.17791348182857
New Caledonia,Average,84.17791348182857
New Zealand,Average,84.17791348182857
Nicaragua,Average,84.17791348182857
Niger,Average,84.17791348182857
Nigeria,Average,84.17791348182857
North Macedonia,Average,84.17791348182857
Norway,Average,84.17791348182857
Oman,Average,84.17791348182857
Pakistan,Average,84.17791348182857
Panama,Average,84.17791348182857
Papua New Guinea,Average,84.17791348182857
Paraguay,Average,84.17791348182857
Peru,Average,84.17791348182857
Philippines,Average,84.17791348182857
Poland,Average,84.17791348182857
Portugal,Average,84.17791348182857
Puerto Rico,Average,84.17791348182857
Qatar,Average,84.17791348182857
Romania,Average,84.17791348182857
Rwanda,Average,84.17791348182857
Saint Kitts and Nevis,Average,84.17791348182857
Saint Lucia,Average,84.17791348182857
Saint Vincent and the Grenadines,Average,84.17791348182857
Samoa,Average,84.17791348182857
Sao Tome and Principe,Average,84.17791348182857
Saudi Arabia,Average,84.17791348182857
Senegal,Average,84.17791348182857
Serbia,Average,84.17791348182857
Seychelles,Average,84.17791348182857
Sierra Leone,Average,84.17791348182857
Singapore,Average,84.17791348182857
Slovakia,Average,84.17791348182857
Slovenia,Average,84.17791348182857
Solomon Islands,Average,84.17791348182857
Somalia,Average,84.17791348182857
South Africa,Average,84.17791348182857
South Sudan,Average,84.17791348182857
Spain,Average,84.17791348182857
Sri Lanka,Average,84.17791348182857
Sudan,Average,84.17791348182857
Suriname,Average,84.17791348182857
Sweden,Average,84.17791348182857
Switzerland,Average,84.17791348182857
Tajikistan,Average,84.17791348182857
Thailand,Average,84.17791348182857
Togo,Average,84.17791348182857
Tonga,Average,84.17791348182857
Trinidad and Tobago,Average,84.17791348182857
Tunisia,Average,84.17791348182857
Turkey,Average,84.17791348182857
Turkmenistan,Average,84.17791348182857
Tuvalu,Average,84.17791348182857
Uganda,Average,84.17791348182857
Ukraine,Average,84.17791348182857
United Arab Emirates,Average,84.17791348182857
United Kingdom,Average,84.17791348182857
United States,Average,84.17791348182857
Uruguay,Average,84.17791348182857
Uzbekistan,Average,84.17791348182857
Vanuatu,Average,84.17791348182857
Yemen,Average,84.17791348182857
Zambia,Average,84.17791348182857
Zimbabwe,Average,84.17791348182857
